FRN,471 Application Number,Billed Entity Name,Applicant Type,Applicant Street Address 1,Applicant City,Applicant Zip Code,Fund Year,Cmtd Total Cost,FRN Committed Amount,Total Authorized Disbursement
1799000034,171000029,COVINGTON SCHOOL,School,501 NORTH MAIN STREET,COVINGTON,	76636,2017,"$34,899.96","$24,429.97","$24,429.97"
1799000491,171000318,ASSUMPTION CATHOLIC SCHOOL,School,801 ROSELANE ST,HOUSTON,	77037,2017,"$3,698.16","$3,328.34","$3,325.64"
1799000775,171000519,ST JEROME SCHOOL,School,8825 KEMPWOOD DR,HOUSTON,	77080,2017,"$2,414.40","$1,931.52","$1,928.32"
1799000812,171000599,TRUE CROSS SCHOOL,School,400 PINE DR,DICKINSON,	77539,2017,"$1,618.80",$647.52,$247.50
1799001131,171000859,PINEYWOODS COMMUNITY ACADEMY,School,602 SOUTH RAGUET STREET,LUFKIN,	75904,2017,"$26,400.00","$21,120.00","$14,205.81"
1799001179,171000848,SACRED HEART ELEMENTARY SCHOOL,School,111 N CHURCH ST,ROCKPORT,	78382,2017,"$3,264.00","$2,284.80","$1,838.98"
1799001397,171001052,CHRIST THE REDEEMER CATHOLIC SCHOOL,School,11511 HUFFMEISTER RD,HOUSTON,	77065,2017,"$2,536.08","$1,014.43","$1,014.03"
1799001433,171001082,CORPUS CHRISTI SCHOOL,School,4005 CHEENA DR,HOUSTON,	77025,2017,"$1,905.72",$762.29,$761.89
1799001791,171001246,ALL SAINTS SCHOOL,School,3222 103RD ST,LUBBOCK,	79423,2017,"$4,704.88","$2,352.44",
1799001866,171001317,HOLY FAMILY GALVESTON CATHOLIC SCHOOL,School,2601 AVENUE N,GALVESTON,	77550,2017,"$2,638.80","$1,319.40","$1,318.90"
1799001907,171001340,STONEHILL CHRISTIAN ACADEMY,School,4301 KELLY LANE,PFLUGERVILLE,	78660,2017,"$15,000.00","$13,500.00","$13,500.00"
1799001918,171001348,HOLY ROSARY SCHOOL,School,1408 JAMES ST,ROSENBERG,	77471,2017,"$1,318.80",$527.52,
1799001922,171001350,INCARNATE WORD ACADEMY SCHOOL,School,609 CRAWFORD ST,HOUSTON,	77002,2017,"$25,870.92","$10,348.37","$10,344.37"
1799001925,171001351,JOHN PAUL II SCHOOL,School,1400 PARKWAY PLAZA DR,HOUSTON,	77077,2017,"$2,782.20","$1,112.88","$1,112.08"
1799002324,171001606,OUR LADY OF FATIMA SCHOOL-GALENA PARK,School,1702 9TH ST,GALENA PARK,	77547,2017,"$2,220.00","$1,332.00","$1,330.80"
1799002638,171001796,OUR LADY OF GUADALUPE SCHOOL,School,2405 NAVIGATION BLVD,HOUSTON,	77003,2017,"$1,439.40",$863.64,$861.24
1799002643,171001798,OUR LADY OF MT. CARMEL SCHOOL,School,6703 WHITEFRIARS DR,HOUSTON,	77087,2017,"$1,327.32","$1,194.59","$1,193.60"
1799002647,171001799,OUR LADY QUEEN OF PEACE,School,1600 HIGHWAY 2004,CLUTE,	77531,2017,"$3,298.80","$1,319.52","$1,318.32"
1799002649,171001802,QUEEN OF PEACE SCHOOL,School,2320 OAKCLIFF ST,HOUSTON,	77023,2017,"$3,300.00","$1,980.00","$1,978.80"
1799002724,171001856,ST. GABRIELS CATHOLIC SCHOOL,School,2500 WIMBERLY LANE,AUSTIN,	78735,2017,"$17,488.00","$6,995.20","$6,045.60"
1799003103,171002069,ALIEF MONTESSORI COMMUNITY SCHOOL,School,12013 6TH ST,HOUSTON,	77072,2017,"$1,740.75","$1,566.68",$556.36
1799003180,171002115,REGIS SCHOOL,School,7330 WESTVIEW DR # D,HOUSTON,	77055,2017,"$2,035.08",$407.02,$406.62
1799003198,171002122,SACRED HEART ELEMENTARY SCHOOL-CONROE,School,615 MCDADE ST,CONROE,	77301,2017,"$1,556.40",$622.56,$620.16
1799003208,171002134,SACRED HEART ELEMENTARY SCHOOL-CROSBY,School,907 RUNNEBURG RD,CROSBY,	77532,2017,"$1,402.68",$701.34,$700.34
1799003575,171002313,CHRIST EPISCOPAL SCHOOL,School,1428 N MOUND ST,NACOGDOCHES,	75961,2017,"$1,332.00",$532.80,$383.76
1799003691,171002396,OUR LADY OF REFUGE SCHOOL,School,577 WASHINGTON ST,EAGLE PASS,	78852,2017,"$4,007.28","$1,602.91","$1,601.31"
1799003716,171002412,ST AUGUSTINE JR SR HIGH SCHOOL,School,1300 GALVESTON ST,LAREDO,	78040,2017,"$3,118.80","$1,247.52","$1,246.32"
1799003753,171002430,MARY HELP OF CHRISTIAN SCHOOL,School,10 E DEL MAR BLVD,LAREDO,	78041,2017,"$4,793.76","$1,917.50","$1,148.30"
1799003760,171002424,MURCHISON ELEMENTARY,School,9691 East Bankhead Street,MURCHISON,	75778,2017,"$20,400.00","$16,320.00","$16,320.00"
1799004011,171002544,HOLY CROSS ELEMENTARY SCHOOL,School,2001 KATY AVE,BAY CITY,	77414,2017,"$1,499.88",$749.94,$741.61
1799004018,171002547,OUR LADY OF THE GULF CATH SCH,School,301 S SAN ANTONIO ST,PORT LAVACA,	77979,2017,"$1,422.00",$995.40,$995.40
1799004025,171002550,SACRED HEART ELEMENTARY SCHOOL,School,313 S TEXANA ST,HALLETTSVILLE,	77964,2017,"$3,264.00","$1,632.00","$1,195.00"
1799004030,171002552,ST MICHAEL SCHOOL,School,208 N MCLEOD ST,CUERO,	77954,2017,"$4,499.88","$2,699.93","$1,061.66"
1799004034,171002555,ST ANTHONY ELEMENTARY SCHOOL,School,635 BONHAM ST,COLUMBUS,	78934,2017,"$16,263.00","$8,131.50","$7,030.48"
1799004039,171002558,ST JOSEPH HIGH SCHOOL,School,110 E RED RIVER ST,VICTORIA,	77901,2017,"$15,533.04","$6,213.22","$5,989.20"
1799004040,171002559,ST PHILIP SCHOOL,School,302 W CHURCH ST,EL CAMPO,	77437,2017,"$2,047.80",$819.12,$818.80
1799004041,171002561,ST ROSE OF LIMA SCHOOL,School,400 BLACK ST,SCHULENBURG,	78956,2017,"$3,542.40","$1,771.20","$1,771.00"
1799004047,171002564,ST JOSEPH ELEMENTARY SCHOOL,School,310 ORTH ST,YOAKUM,	77995,2017,"$3,720.00","$2,604.00","$2,496.20"
1799004181,171002416,HOLY CROSS CATHOLIC ACADEMY,School,4110 S BONHAM ST,AMARILLO,	79110,2017,"$1,560.00",$780.00,
1799005293,171003278,Poetry Community Christian School,School,18688 FM 986,TERRELL,	75160,2017,"$12,010.80","$6,005.40","$6,005.40"
1799005766,171003499,OUR LADY OF VICTORY SCHOOL,School,1311 E MESQUITE LN ,VICTORIA,	77901,2017,"$4,199.40","$1,679.76","$1,659.76"
1799006443,171003850,ST AUSTIN'S ELEMENTARY SCHOOL,School,1911 SAN ANTONIO ST,AUSTIN,	78705,2017,"$5,699.28","$2,279.71","$2,279.71"
1799006755,171000196,CARPE DIEM-WESTWOOD CAMPUS,School,8038 W. MILITARY DR,SAN ANTONIO,	78227,2017,"$19,836.00","$15,868.80","$14,713.92"
1799007011,171004131,ERATH EXCELS  ACADEMY,School,680 PEACH ORCHARD RD,STEPHENVILLE,	76401,2017,"$9,600.00","$8,640.00","$8,640.00"
1799007633,171004485,ST. JOSEPH CATHOLIC SCHOOL,School,600 S. COULTER DRIVE,BRYAN,	77803,2017,$899.40,$359.76,$359.76
1799007646,171004485,ST. JOSEPH CATHOLIC SCHOOL,School,600 S. COULTER DRIVE,BRYAN,	77803,2017,"$4,800.00","$1,920.00","$1,920.00"
1799007813,171004578,Holy Family Catholic Academy,School,2323 CHEYENNE ST,IRVING,	75062,2017,"$4,945.68","$2,472.84","$2,231.24"
1799008688,171005036,CHINQUAPIN PREPARATORY SCHOOL,School,2615 E WALLISVILLE RD,HIGHLANDS,	77562,2017,"$29,778.00","$26,800.20","$26,800.20"
1799008779,171005052,CHANNING PUBLIC SCHOOL,School,916 GREENWOOD,CHANNING,	79018,2017,"$44,520.00","$35,616.00","$35,616.00"
1799009233,171005323,WALCOTT ELEMENTARY SCHOOL,School,4275 HWY 214,HEREFORD,	79045,2017,"$52,020.00","$41,616.00","$41,616.00"
1799010120,171005821,FORT WORTH COUNTRY DAY,School,4200 COUNTRY DAY LANE,FORT WORTH,	76109,2017,"$45,156.00","$18,062.40","$18,018.24"
1799010133,171005825,WELLMAN UNION SCHOOL,School,505 Terry Ave,WELLMAN ,	79378,2017,"$31,104.00","$24,883.20","$13,056.00"
1799011044,171006286,MIDLAND ACADEMY CHARTER SCHOOL,School,500 NORTH BAIRD,MIDLAND,	79701,2017,"$37,832.04","$22,699.22","$22,699.22"
