FRN,471 Application Number,Billed Entity Name,Applicant Type,Applicant Street Address 1,Applicant City,Applicant Zip Code,Fund Year,Cmtd Total Cost,FRN Committed Amount,Total Authorized Disbursement
1699023370,161010468,UNIVERSAL ACADEMY,School,2616 NORTH MACARTHUR BLVD,IRVING,"	75062",2016,"$54,000.00 ","$48,600.00 ","$48,600.00 "
1699024046,161001340,ASCENSION ACADEMY,School,9301 ASCENSION PKWY,AMARILLO,"	79119",2016,"$3,000.00 ","$1,500.00 ","$1,500.00 "
1699024725,161001340,ASCENSION ACADEMY,School,9301 ASCENSION PKWY,AMARILLO,"	79119",2016,"$3,276.00 ","$1,638.00 ","$1,638.00 "
1699025299,161010045,CITYSCAPE SCHOOLS,School,6211 E. Grand Blvd,DALLAS,"	75223",2016,"$20,900.00 ","$18,810.00 ","$18,810.00 "
1699025385,161014699,TRINITY SCHOOL OF MIDLAND,School,3500 W WADLEY AVE,MIDLAND,"	79707",2016,"$31,200.00 ","$6,240.00 ","$6,240.00 "
1699026763,161015309,ST PIUS X SCHOOL,School,3030 GUS THOMASSON RD,DALLAS,"	75228",2016,"$12,182.52 ","$4,873.01 ","$4,872.96 "
1699028254,161015981,CHANNING PUBLIC SCHOOL,School,916 GREENWOOD,CHANNING,"	79018",2016,"$45,000.00 ","$36,000.00 ",
1699029520,161016493,BAIS MENACHEM,School,2127 PARMER LN,AUSTIN,"	78731",2016,"$1,800.00 ",$0.00 ,
1699029557,161016506,BAIS MENACHEM,School,2127 PARMER LN,AUSTIN,"	78731",2016,"$21,600.00 ",$0.00 ,
1699030164,161016775,"PRO-VISION EDUCATIONAL SERVICES, INC.",School,4590 WILMINGTON,HOUSTON,"	77051",2016,"$16,000.00 ","$14,400.00 ",
1699030944,161017165,CROSSTIMBERS ACADEMY CHARTER SCHOOL,School,"242 HARMONY ROAD, PO BOX 1327",WEATHERFORD,"	76087",2016,"$10,199.40 ","$7,139.58 ","$7,139.58 "
