FRN,471 Application Number,Billed Entity Name,Applicant Type,Applicant Street Address 1,Applicant City,Applicant Zip Code,Fund Year,Cmtd Total Cost,FRN Committed Amount,Total Authorized Disbursement
1899000190,181000171,REGENTS SCHOOL OF AUSTIN,School,3230 TRAVIS COUNTRY CIRCLE,AUSTIN,"	78735",2018,"$12,239.88 ",$0.00 ,
1899000488,181000386,OUR LADY OF REFUGE SCHOOL,School,577 WASHINGTON ST,EAGLE PASS,"	78852",2018,"$4,007.28 ","$2,404.37 ","$1,439.88 "
1899000494,181000390,ST AUGUSTINE HIGH SCHOOL,School,1300 GALVESTON ST,LAREDO,"	78040",2018,"$4,259.16 ","$2,129.58 ","$2,124.50 "
1899000498,181000393,MARY HELP OF CHRISTIAN SCHOOL,School,10 E DEL MAR BLVD,LAREDO,"	78041",2018,"$3,539.52 ","$1,415.81 ",$890.61 
1899000506,181000400,EDUCATION SERV CTR-REGION 7,School,1909 NORTH LONGVIEW ST.,KILGORE,"	75662",2018,"$55,200.00 ","$44,160.00 ","$38,493.57 "
1899000510,181000400,EDUCATION SERV CTR-REGION 7,School,1909 NORTH LONGVIEW ST.,KILGORE,"	75662",2018,"$12,000.00 ","$9,600.00 ","$8,341.93 "
1899001097,181000848,ST JEROME SCHOOL,School,8825 KEMPWOOD DR,HOUSTON,"	77080",2018,"$2,638.80 ","$1,583.28 ","$1,582.68 "
1899001102,181000849,ASSUMPTION CATHOLIC SCHOOL,School,801 ROSELANE ST,HOUSTON,"	77037",2018,"$2,698.80 ","$2,428.92 ","$2,428.20 "
1899001107,181000849,ASSUMPTION CATHOLIC SCHOOL,School,801 ROSELANE ST,HOUSTON,"	77037",2018,$906.60 ,$815.94 ,$815.40 
1899001117,181000856,CHRIST THE REDEEMER CATHOLIC SCHOOL,School,11511 HUFFMEISTER RD,HOUSTON,"	77065",2018,"$2,927.88 ","$1,171.15 ",$936.40 
1899001121,181000862,CORPUS CHRISTI SCHOOL,School,4005 CHEENA DR,HOUSTON,"	77025",2018,"$1,905.72 ",$762.29 ,$762.00 
1899001125,181000865,HOLY FAMILY GALVESTON CATHOLIC SCHOOL,School,2601 AVENUE N,GALVESTON,"	77550",2018,"$2,638.80 ","$1,319.40 ","$1,318.90 "
1899001133,181000871,HOLY GHOST SCHOOL,School,6920 CHIMNEY ROCK RD,HOUSTON,"	77081",2018,"$1,895.64 ","$1,137.38 ","$1,136.78 "
