county,20141,20142,20133,20134,total,county_name
001,3496,3487,3394,3524,41703,Anderson
003,5511,5418,5176,5647,65256,Andrews
005,3315,3350,3479,3469,40839,Angelina
007,3193,3221,3307,3189,38730,Aransas
009,3387,3342,3359,3510,40794,Archer
011,2978,2922,3029,3542,37413,Armstrong
013,3875,4021,3803,3863,46686,Atascosa
015,3836,3740,3729,4085,46170,Austin
017,2962,3053,2917,3182,36342,Bailey
019,2725,2856,2777,3302,34980,Bandera
021,3032,3083,2979,3216,36930,Bastrop
023,2598,2627,2655,2648,31584,Baylor
025,3548,3335,3319,3661,41589,Bee
027,3657,3474,3487,3602,42660,Bell
029,4084,3758,3699,3964,46515,Bexar
031,3339,3277,3654,3793,42189,Blanco
033,3179,3261,2849,3318,37821,Borden
035,3160,3173,2969,3258,37680,Bosque
037,3090,3151,3149,3303,38079,Bowie
039,4798,4419,4200,4469,53658,Brazoria
041,3333,3310,3226,3499,40104,Brazos
043,3023,3182,3217,3216,37914,Brewster
045,2799,2877,2586,3219,34443,Briscoe
047,3044,3075,3050,3255,37272,Brooks
049,3364,3265,3186,3357,39516,Brown
051,3526,3560,3432,3699,42651,Burleson
053,3312,3433,3262,3498,40515,Burnet
055,3068,3061,2917,3212,36774,Caldwell
057,5490,5464,5395,5421,65310,Calhoun
059,2805,3059,2922,3457,36729,Callahan
061,2540,2632,2585,2653,31230,Cameron
063,3439,3172,3180,3318,39327,Camp
065,3244,3365,3393,3604,40818,Carson
067,3013,2995,2937,3189,36402,Cass
069,2898,2913,2843,3094,35244,Castro
071,4881,5100,4646,5081,59124,Chambers
073,2817,2897,2799,2917,34290,Cherokee
075,2704,2739,2710,2876,33087,Childress
077,2762,2888,2753,2833,33708,Clay
079,2898,3096,2899,3332,36675,Cochran
081,2883,2943,2608,2811,33735,Coke
083,2454,2542,2492,2699,30561,Coleman
085,5653,5132,4942,5249,62928,Collin
087,3260,3173,3155,3615,39609,Collingsworth
089,3318,3305,3156,3387,39498,Colorado
091,3515,3490,3451,3603,42177,Comal
093,2713,2688,2687,2789,32631,Comanche
095,2803,2806,2831,2773,33639,Concho
097,4031,4075,3912,3997,48045,Cooke
099,3176,3200,3097,3271,38232,Coryell
101,3482,2811,3032,3395,38160,Cottle
103,6224,5240,5620,5919,69009,Crane
105,3436,3384,3079,3351,39750,Crockett
107,2973,2912,2887,3313,36255,Crosby
109,2832,2901,2932,2974,34917,Culberson
111,3417,3555,3447,3850,42807,Dallam
113,5694,5058,5014,5404,63510,Dallas
115,3241,3385,3160,3424,39630,Dawson
117,3236,3300,3278,3545,40077,Deaf Smith
119,2467,2528,2355,2341,29073,Delta
121,4138,3966,3915,4104,48369,Denton
123,3878,3807,3468,4000,45459,DeWitt
125,2615,2708,2677,2777,32331,Dickens
127,3957,3980,4133,4255,48975,Dimmit
129,2343,2406,2705,2458,29736,Donley
131,3609,3988,3729,3988,45942,Duval
133,3926,3746,3917,3831,46260,Eastland
135,4982,5095,4764,5246,60261,Ector
137,2302,2411,2326,2519,28674,Edwards
139,3509,3513,3407,3614,42129,Ellis
141,3132,3004,2981,3122,36717,El Paso
143,2833,2844,2861,2978,34548,Erath
145,2957,2955,2979,3201,36276,Falls
147,2979,2976,3005,3074,36102,Fannin
149,3708,3646,3588,3906,44544,Fayette
151,2921,2995,2900,3279,36285,Fisher
153,2886,3161,2880,3436,37089,Floyd
155,2047,2207,2400,2292,26838,Foard
157,4846,4413,4481,4697,55311,Fort Bend
159,2656,2695,2518,2647,31548,Franklin
161,4239,4036,3943,4032,48750,Freestone
163,4325,4222,4143,4254,50832,Frio
165,4558,4272,4236,4718,53352,Gaines
167,4127,3938,3802,4046,47739,Galveston
169,3219,3215,3347,3222,39009,Garza
171,2896,2909,2954,3100,35577,Gillespie
173,4718,4248,3052,3525,46629,Glasscock
175,8163,5093,4411,5409,69228,Goliad
177,3223,3202,3209,3251,38655,Gonzales
179,4410,4268,3984,4715,52131,Gray
181,3512,3418,3407,3557,41682,Grayson
183,4193,4100,4112,4361,50298,Gregg
185,4593,4313,3920,4311,51411,Grimes
187,3545,3638,3404,3738,42975,Guadalupe
189,2982,2869,2878,3046,35325,Hale
191,2921,3079,2825,3022,35541,Hall
193,2729,2908,2846,2943,34278,Hamilton
195,6052,4324,4052,4645,57219,Hansford
197,2913,3054,2910,3080,35871,Hardeman
199,3305,3295,3427,3689,41148,Hardin
201,6307,5593,5384,5935,69657,Harris
203,4257,4163,3976,4469,50595,Harrison
205,3326,3288,3228,3715,40671,Hartley
207,2504,2782,2562,2631,31437,Haskell
209,3218,3227,3164,3369,38934,Hays
211,7191,6222,5526,7428,79101,Hemphill
213,3039,3102,2991,3126,36774,Henderson
215,2657,2792,2675,2840,32892,Hidalgo
217,3450,3501,3326,3495,41316,Hill
219,4431,4466,4260,4709,53598,Hockley
221,3767,3872,3738,3895,45816,Hood
223,3566,3249,3334,3357,40518,Hopkins
225,4553,4256,4196,4146,51453,Houston
227,3929,4093,3774,3981,47331,Howard
229,2487,2803,2631,2742,31989,Hudspeth
231,3959,3918,3858,4251,47958,Hunt
233,6379,5175,4924,5269,65241,Hutchinson
