county,20191,20192,20183,20184,total,county_name
289,4633,4420,4324,4706,54249,Leon
291,4419,4135,4064,4327,50835,Liberty
293,4090,3888,3559,3755,45876,Limestone
295,3593,3753,3795,8677,59454,Lipscomb
297,17862,5084,4870,18339,138465,Live Oak
299,3350,3620,3299,3671,41820,Llano
301,5802,6643,5575,5681,71103,Loving
303,3849,3931,3766,4036,46746,Lubbock
305,3942,3998,3701,4155,47388,Lynn
307,6283,5091,5080,5578,66096,McCulloch
309,4078,4105,3993,4213,49167,McLennan
311,5926,4964,5107,5530,64581,McMullen
313,3484,3611,3403,3609,42321,Madison
315,3168,2961,2783,2981,35679,Marion
317,4834,4824,4672,5162,58476,Martin
319,2784,2874,2898,3043,34797,Mason
321,5784,5141,4782,5539,63738,Matagorda
323,2620,2775,2580,2862,32511,Maverick
325,3288,3380,3246,3514,40284,Medina
327,2688,2818,2598,2776,32640,Menard
329,7329,6744,6595,6970,82914,Midland
331,3509,3459,3875,3755,43794,Milam
333,2912,3087,2927,3114,36120,Mills
335,4052,3907,3758,4784,49503,Mitchell
337,4134,4252,3903,4791,51240,Montague
339,5506,4945,4681,5116,60744,Montgomery
341,4182,4200,3985,4251,49854,Moore
343,4657,4670,4144,5057,55584,Morris
345,2813,2750,2608,2809,32940,Motley
347,3434,3481,3375,3604,41682,Nacogdoches
349,3559,3526,3440,3696,42663,Navarro
351,3173,3231,3193,3254,38553,Newton
353,4056,4008,3854,4050,47904,Nolan
355,4248,4189,4129,4338,50712,Nueces
357,5296,5264,4959,5626,63435,Ochiltree
359,3456,3699,3504,4002,43983,Oldham
361,4985,4745,4654,4918,57906,Orange
363,3797,3881,3696,3925,45897,Palo Pinto
365,4540,4532,4264,4614,53850,Panola
367,3989,4111,3965,4227,48876,Parker
369,3759,3775,3823,4012,46107,Parmer
371,4898,4556,4263,4539,54768,Pecos
373,3621,3537,3551,3633,43026,Polk
375,3885,3999,3821,4228,47799,Potter
377,2941,2823,2821,2831,34248,Presidio
379,3063,3351,3111,3273,38394,Rains
381,3794,3783,3616,3921,45342,Randall
383,6165,5770,5241,5603,68337,Reagan
385,2541,2620,2561,2691,31239,Real
387,3289,3081,2896,3129,37185,Red River
389,5381,5524,4991,5457,64059,Reeves
391,3932,3793,3737,4077,46617,Refugio
393,4464,3581,4055,3480,46740,Roberts
395,4213,4000,4016,4169,49194,Robertson
397,3846,3916,3852,4194,47424,Rockwall
399,3272,3195,3123,3384,38922,Runnels
401,4173,4054,3891,4178,48888,Rusk
403,3211,3215,3223,3293,38826,Sabine
405,3650,3809,3246,3488,42579,San Augustine
407,3192,3496,3281,3481,40350,San Jacinto
409,4396,4268,4097,4399,51480,San Patricio
411,2877,2795,2771,3037,34440,San Saba
413,3804,3861,3841,3866,46116,Schleicher
415,5220,5071,4808,4847,59838,Scurry
417,4572,4580,4630,5303,57255,Shackelford
419,3041,3254,3069,3270,37902,Shelby
421,3542,4644,3505,3919,46830,Sherman
423,4121,4206,4112,4490,50787,Smith
425,6729,5366,4992,5170,66771,Somervell
427,2355,2460,2289,2507,28833,Starr
429,3481,3601,3389,3984,43365,Stephens
431,6088,5256,4872,5328,64632,Sterling
433,3573,3611,3552,3673,43227,Stonewall
435,5472,5413,4830,5227,62826,Sutton
437,3163,4351,3182,3607,42909,Swisher
439,5344,4969,4736,5140,60567,Tarrant
441,3817,3923,3789,4119,46944,Taylor
443,5617,4345,4673,5094,59187,Terrell
445,3382,3578,3441,3701,42306,Terry
447,2502,2610,2363,2662,30411,Throckmorton
449,3471,3404,3367,3410,40956,Titus
451,3808,3918,3824,4026,46728,Tom Green
453,6245,5962,5759,6213,72537,Travis
455,3041,3062,3070,3092,36795,Trinity
457,3226,3176,3189,3251,38526,Tyler
459,3251,3372,3306,3561,40470,Upshur
461,7446,6472,5851,6314,78249,Upton
463,3202,3116,3061,3269,37944,Uvalde
465,2828,2945,2842,2982,34791,Val Verde
467,3294,3360,3218,3461,39999,Van Zandt
469,4371,4301,4175,4493,52020,Victoria
471,3719,3687,3624,3770,44400,Walker
473,4323,4275,4140,4351,51267,Waller
475,6132,5781,5652,5976,70623,Ward
477,3797,3802,3675,3989,45789,Washington
479,3023,3034,2986,3184,36681,Webb
481,3589,3730,3599,3684,43806,Wharton
483,3777,3959,3379,3679,44382,Wheeler
485,3801,3667,3630,3834,44796,Wichita
487,3256,3321,3165,3333,39225,Wilbarger
489,3413,3376,3272,3513,40722,Willacy
491,5806,5050,4788,5092,62208,Williamson
493,3540,3683,3569,3766,43674,Wilson
495,6829,6195,6148,6238,76230,Winkler
497,4333,4338,4192,4521,52152,Wise
499,3390,3480,3406,3616,41676,Wood
501,6008,5246,5365,5835,67362,Yoakum
503,3932,3972,3731,4060,47085,Young
505,4004,4131,3933,4556,49872,Zapata
507,3504,3383,3456,3532,41625,Zavala
