county,20171,20172,20163,20164,total,county_name
001,3639,3596,3566,3693,43482,Anderson
003,5483,5321,5069,5441,63942,Andrews
005,3430,3465,3498,3524,41751,Angelina
007,3373,3436,3467,3421,41091,Aransas
009,3204,3250,3010,3238,38106,Archer
011,3275,3284,3251,3560,40110,Armstrong
013,4133,4224,4082,4058,49491,Atascosa
015,3943,3874,3803,4056,47028,Austin
017,3241,3177,3413,3373,39612,Bailey
019,3049,3184,3109,3222,37692,Bandera
021,3375,3300,3324,3429,40284,Bastrop
023,3140,3015,2962,3176,36879,Baylor
025,3609,3235,3292,3404,40620,Bee
027,3857,3972,3849,3944,46866,Bell
029,4423,4086,4094,4298,50703,Bexar
031,3622,3883,3789,3855,45447,Blanco
033,3247,3354,3381,3485,40401,Borden
035,3255,3314,3244,3337,39450,Bosque
037,3293,3492,3401,3600,41358,Bowie
039,5142,4737,4650,4808,58011,Brazoria
041,3629,3526,3684,3648,43461,Brazos
043,2978,3108,3142,3297,37575,Brewster
045,3474,3536,3280,3748,42114,Briscoe
047,2952,3028,2908,3060,35844,Brooks
049,3398,3390,3393,3351,40596,Brown
051,3519,3605,3577,3625,42978,Burleson
053,3597,3631,3605,3718,43653,Burnet
055,3298,3264,3228,3284,39222,Caldwell
057,5934,5828,5981,5796,70617,Calhoun
059,3219,3191,3224,3898,40596,Callahan
061,2707,2766,2797,2842,33336,Cameron
063,3685,3376,3432,3455,41844,Camp
065,7605,6470,7336,6212,82869,Carson
067,3205,3225,3210,3329,38907,Cass
069,3033,3134,3148,3463,38334,Castro
071,6288,5114,5264,5258,65772,Chambers
073,2948,2974,3018,3038,35934,Cherokee
075,3485,3666,3526,3650,42981,Childress
077,2767,2906,2881,2922,34428,Clay
079,3287,3345,3314,3537,40449,Cochran
081,3293,3153,3144,3106,38088,Coke
083,2963,2810,2700,2851,33972,Coleman
085,6309,5517,5605,5657,69264,Collin
087,3583,3458,3487,3633,42483,Collingsworth
089,3666,5679,3392,3604,49023,Colorado
091,3887,3756,3873,3906,46266,Comal
093,2845,2924,2886,2970,34875,Comanche
095,3119,2756,3386,3229,37470,Concho
097,3859,4046,4013,4065,47949,Cooke
099,3633,3661,3579,3586,43377,Coryell
101,4221,3337,3166,3355,42237,Cottle
103,7204,5748,5715,5973,73920,Crane
105,4151,3744,3754,5710,52077,Crockett
107,3433,3170,2972,3477,39156,Crosby
109,4074,4466,4021,4157,50154,Culberson
111,3836,3736,3823,3848,45729,Dallam
113,6125,5458,5519,5735,68511,Dallas
115,4180,3460,3306,3461,43221,Dawson
117,3761,3630,3690,3858,44817,Deaf Smith
119,2341,2929,2464,2528,30786,Delta
121,4459,4501,4356,4424,53220,Denton
123,4206,3765,3959,3886,47448,DeWitt
125,2847,2727,3062,3047,35049,Dickens
127,3997,4164,3793,4059,48039,Dimmit
129,2726,2762,2846,2884,33654,Donley
131,3081,3041,3192,3106,37260,Duval
133,3792,3802,3738,3867,45597,Eastland
135,4791,4890,4671,4860,57636,Ector
137,2493,2382,2606,2733,30642,Edwards
139,3840,3802,3820,3951,46239,Ellis
141,3249,3222,3227,3286,38952,El Paso
143,2965,3105,3228,3117,37245,Erath
145,3294,3302,3287,3562,40335,Falls
147,3173,3313,3266,3444,39588,Fannin
149,3629,3559,3628,3744,43680,Fayette
151,3335,3305,3356,3608,40812,Fisher
153,2971,3070,3034,3436,37533,Floyd
155,2382,2521,2425,2523,29553,Foard
157,4631,4291,4410,4476,53424,Fort Bend
159,2966,3038,2910,3036,35850,Franklin
161,4244,3840,3890,3862,47508,Freestone
163,4068,4335,3936,4003,49026,Frio
165,4594,4326,4247,4498,52995,Gaines
167,4317,4243,4169,4246,50925,Galveston
169,6636,3241,3194,3397,49404,Garza
171,3139,3348,3215,3476,39534,Gillespie
173,5498,4431,3984,4577,55470,Glasscock
175,4695,3592,4160,3403,47550,Goliad
177,3514,3495,3500,3413,41766,Gonzales
179,3992,3744,3835,3991,46686,Gray
181,3786,3897,3712,3825,45660,Grayson
183,4119,4189,4090,4137,49605,Gregg
185,4201,4094,3888,4243,49278,Grimes
187,3675,3916,3833,3913,46011,Guadalupe
189,3217,3256,3123,3355,38853,Hale
191,2478,2497,2495,2609,30237,Hall
193,3030,2975,3070,3012,36261,Hamilton
195,6994,4123,4197,4231,58635,Hansford
197,3274,3073,3268,3281,38688,Hardeman
199,3506,3489,3474,3706,42525,Hardin
201,6424,5539,5685,5881,70587,Harris
203,4094,3997,3922,4055,48204,Harrison
205,3457,3522,3908,3991,44634,Hartley
207,2918,2832,2954,3097,35403,Haskell
209,3470,3505,3655,3589,42657,Hays
211,7434,5212,5731,6156,73599,Hemphill
213,3270,3297,3369,3495,40293,Henderson
215,2844,2865,2910,2930,34647,Hidalgo
217,3665,3309,3693,3730,43191,Hill
219,4292,4161,4027,4171,49953,Hockley
221,3486,3539,3614,3681,42960,Hood
223,3473,3455,3493,3508,41787,Hopkins
225,4424,4285,4286,4613,52824,Houston
227,5376,4517,4058,4161,54336,Howard
229,3263,3390,3556,3587,41388,Hudspeth
231,4854,4513,4801,4584,56256,Hunt
233,6320,5302,5368,5528,67554,Hutchinson
235,11659,5523,5528,5140,83550,Irion
237,3813,4053,3898,4325,48267,Jack
239,4069,3853,3856,4098,47628,Jackson
241,3613,3569,3498,3752,43296,Jasper
243,3137,3340,3318,3186,38943,Jeff Davis
245,5273,4834,4985,4999,60273,Jefferson
247,2465,2510,2574,2593,30426,Jim Hogg
249,3516,3603,3428,3462,42027,Jim Wells
251,3699,3785,3801,3817,45306,Johnson
253,3165,3264,3156,3450,39105,Jones
255,4682,4115,4368,4402,52701,Karnes
257,3538,3503,3549,3666,42768,Kaufman
259,4701,4403,4521,4644,54807,Kendall
261,5367,5919,4907,5415,64824,Kenedy
263,2823,2778,3696,2935,36696,Kent
265,3356,3549,3589,3627,42363,Kerr
267,2435,2465,2533,2696,30387,Kimble
269,6774,6859,6260,6557,79350,King
271,2811,2797,2940,2854,34206,Kinney
273,3059,3057,3011,3194,36963,Kleberg
275,3253,3104,3397,3785,40617,Knox
277,3665,3696,3813,3803,44931,Lamar
279,3177,3253,3181,3366,38931,Lamb
281,3079,3905,3095,3207,39858,Lampasas
283,5276,5741,5139,5052,63624,La Salle
285,3369,3456,3286,3684,41385,Lavaca
287,4019,4150,4312,4346,50481,Lee
289,4129,3941,4111,4175,49068,Leon
291,3859,3782,3763,3948,46056,Liberty
293,3442,3253,3344,3292,39993,Limestone
295,3458,3605,3387,5154,46812,Lipscomb
297,5067,4457,4459,4582,55695,Live Oak
299,3014,3257,3274,3278,38469,Llano
301,4478,5143,4269,4932,56466,Loving
303,3604,3696,3710,3849,44577,Lubbock
305,3361,3441,3275,3587,40992,Lynn
307,5601,4822,4695,4933,60153,McCulloch
309,3881,3932,3882,3973,47004,McLennan
311,6785,5222,5385,5915,69921,McMullen
313,3317,3393,3397,3364,40413,Madison
315,2873,2817,2741,2897,33984,Marion
317,4238,4563,4253,5088,54426,Martin
319,2675,2647,2690,2780,32376,Mason
321,5622,5122,4460,4860,60192,Matagorda
323,2462,2561,2525,2673,30663,Maverick
325,3123,3182,3096,3285,38058,Medina
327,2420,2511,2374,2595,29700,Menard
329,6741,5886,5480,5858,71895,Midland
331,4380,4222,4264,4385,51753,Milam
333,2849,2909,2861,3409,36084,Mills
335,3725,3547,3571,3596,43317,Mitchell
337,3275,3523,3329,3546,41019,Montague
339,4922,4682,4649,4740,56979,Montgomery
341,4260,3897,4285,4262,50112,Moore
343,4255,4095,3363,3745,46374,Morris
345,2492,2470,2344,2445,29253,Motley
347,3224,3254,3257,3338,39219,Nacogdoches
349,3122,3226,3232,3315,38685,Navarro
351,2817,2940,2883,2857,34491,Newton
353,3780,3668,3734,3710,44676,Nolan
355,4038,3955,4019,4033,48135,Nueces
357,5235,4728,4763,5242,59904,Ochiltree
359,3157,3588,3422,3628,41385,Oldham
361,4781,4724,4571,4582,55974,Orange
363,3422,3511,3445,3515,41679,Palo Pinto
365,4176,4154,4201,4201,50196,Panola
367,3798,3803,3903,3921,46275,Parker
369,3279,3440,3569,3664,41856,Parmer
371,5610,4032,3962,4008,52836,Pecos
373,3464,3333,3397,3484,41034,Polk
375,3636,3772,3712,3897,45051,Potter
377,2674,2613,2689,2583,31677,Presidio
379,2623,2873,2742,2868,33318,Rains
381,3499,3499,3499,3648,42435,Randall
383,4602,4946,4754,4717,57057,Reagan
385,2357,2555,2261,2787,29880,Real
387,2891,2819,2723,2828,33783,Red River
389,4805,4027,3908,3964,50112,Reeves
391,3625,3479,3679,3619,43206,Refugio
393,4952,3770,3863,4494,51237,Roberts
395,3621,4409,3555,3676,45783,Robertson
397,3689,3752,3768,3944,45459,Rockwall
399,3989,2892,3060,3094,39105,Runnels
401,3794,3631,3711,3765,44703,Rusk
403,3095,3089,3120,3095,37197,Sabine
405,2889,3029,3109,3205,36696,San Augustine
407,3047,3222,3109,3282,37980,San Jacinto
409,4210,4043,4058,4217,49584,San Patricio
411,2724,2729,2681,2748,32646,San Saba
413,3512,3585,3615,3579,42873,Schleicher
415,6770,4806,4332,4456,61092,Scurry
417,3703,4064,3866,4100,47199,Shackelford
419,2875,2894,2925,2949,34929,Shelby
421,3338,3331,3348,3777,41382,Sherman
423,3916,3977,4031,4117,48123,Smith
425,6162,5066,5057,4936,63663,Somervell
427,2328,2318,2370,2365,28143,Starr
429,3307,3432,3234,3531,40512,Stephens
431,11906,4211,4151,4244,73536,Sterling
433,3977,3418,3365,3724,43452,Stonewall
435,4627,4846,4514,4607,55782,Sutton
437,3043,3157,2981,3416,37791,Swisher
439,4938,4684,4751,4768,57423,Tarrant
441,3545,3647,3640,3784,43848,Taylor
443,4545,4518,6204,4235,58506,Terrell
445,3416,3462,3447,3712,42111,Terry
447,2428,2434,2530,2554,29838,Throckmorton
449,3365,3157,3291,3170,38949,Titus
451,3741,3652,3661,3803,44571,Tom Green
453,5704,5506,5423,5737,67110,Travis
455,2899,2978,3034,3008,35757,Trinity
457,3023,3089,3260,3163,37605,Tyler
459,3275,3281,3258,3482,39888,Upshur
461,6895,5533,5061,5275,68292,Upton
463,2954,2905,2987,2987,35499,Uvalde
465,2774,2787,2803,2853,33651,Val Verde
467,3039,3115,3173,3209,37608,Van Zandt
469,3994,4010,3982,4096,48246,Victoria
471,3496,3500,3471,3569,42108,Walker
473,4165,4052,4157,4202,49728,Waller
475,5218,5017,4932,5035,60606,Ward
477,3534,3443,3530,3599,42318,Washington
479,2860,2867,2948,2948,34869,Webb
481,3350,3351,3403,3387,40473,Wharton
483,3054,3231,3085,3126,37488,Wheeler
485,3587,3464,3545,3612,42624,Wichita
487,3132,3119,3081,3152,37452,Wilbarger
489,2906,2891,2883,2919,34797,Willacy
491,5273,4713,4876,4786,58944,Williamson
493,3285,3435,3382,3523,40875,Wilson
495,5652,5024,5123,4913,62136,Winkler
497,4066,4126,4044,4224,49380,Wise
499,3166,3194,3189,3381,38790,Wood
501,5043,4728,4876,4881,58584,Yoakum
503,3659,3870,3420,3647,43788,Young
505,3813,4143,3808,4034,47394,Zapata
507,2953,2926,2923,3022,35472,Zavala
