county,20181,20182,20173,20174,total,county_name
001,3713,3831,3567,3800,44733,Anderson
003,6083,6197,5409,5760,70347,Andrews
005,3473,3473,3364,3558,41604,Angelina
007,3755,3707,4006,4047,46545,Aransas
009,3127,3345,3207,3425,39312,Archer
011,3553,3333,3678,3722,42858,Armstrong
013,4580,4712,4295,4556,54429,Atascosa
015,4160,4075,3820,4335,49170,Austin
017,3265,3378,3213,3460,39948,Bailey
019,3080,3226,3150,3459,38745,Bandera
021,3376,3414,3301,3579,41010,Bastrop
023,2971,3006,3017,3147,36423,Baylor
025,3457,3249,3226,3557,40467,Bee
027,3948,4087,3846,4388,48807,Bell
029,4523,4221,4042,4412,51594,Bexar
031,3621,3845,3774,3996,45708,Blanco
033,3435,3487,3325,3575,41466,Borden
035,3540,3442,3274,3485,41223,Bosque
037,3366,3490,3322,3691,41607,Bowie
039,5534,4907,4802,5182,61275,Brazoria
041,3665,3646,3677,3731,44157,Brazos
043,3165,3367,2980,3344,38568,Brewster
045,3817,3800,16970,3986,85719,Briscoe
047,2934,2994,3000,3337,36795,Brooks
049,3552,3446,3389,3528,41745,Brown
051,3909,3964,3554,4025,46356,Burleson
053,3666,3619,3592,3928,44415,Burnet
055,3313,3345,3274,3336,39804,Caldwell
057,6008,5974,5800,6052,71502,Calhoun
059,3308,3615,3327,3807,42171,Callahan
061,2769,2881,2719,2899,33804,Cameron
063,3734,3495,3396,3566,42573,Camp
065,7796,6415,7381,6324,83748,Carson
067,2951,3317,2983,3145,37188,Cass
069,3172,3215,3055,3417,38577,Castro
071,6323,5231,5206,5341,66303,Chambers
073,2989,3129,2997,3130,36735,Cherokee
075,3769,3973,3748,3931,46263,Childress
077,2918,3226,2903,2974,36063,Clay
079,3413,3438,3293,3696,41520,Cochran
081,3696,3788,3291,3312,42261,Coke
083,2626,2606,2662,2831,32175,Coleman
085,6475,5802,5578,5817,71016,Collin
087,3517,3445,3488,3730,42540,Collingsworth
089,3590,3639,3522,3831,43746,Colorado
091,3844,3747,3776,3974,46023,Comal
093,3074,3088,2908,3177,36741,Comanche
095,3094,2955,3048,3034,36393,Concho
097,4095,4184,3945,4217,49323,Cooke
099,3724,3712,3624,3771,44493,Coryell
101,4309,3582,3223,4172,45858,Cottle
103,6463,5907,5606,5710,71058,Crane
105,4425,3882,3782,4290,49137,Crockett
107,3409,3244,3070,3739,40386,Crosby
109,4269,4525,4272,4540,52818,Culberson
111,3927,3762,3762,3907,46074,Dallam
113,6358,5614,5424,5931,69981,Dallas
115,3649,3676,3456,3683,43392,Dawson
117,3925,3786,3787,3943,46323,Deaf Smith
119,3139,3507,2750,3075,37413,Delta
121,4495,4408,4269,4514,53058,Denton
123,4034,3941,3915,4161,48153,DeWitt
125,2707,2692,2850,3147,34188,Dickens
127,4617,4625,4166,4713,54363,Dimmit
129,2927,2860,2796,2942,34575,Donley
131,3157,3236,3067,3282,38226,Duval
133,4254,4219,3989,4166,49884,Eastland
135,5351,5316,4957,5296,62760,Ector
137,2431,2493,2356,2506,29358,Edwards
139,3988,4005,3753,4096,47526,Ellis
141,3317,3273,3153,3363,39318,El Paso
143,3041,3198,3053,3232,37572,Erath
145,3424,3379,3341,3694,41514,Falls
147,3237,3405,3227,3472,40023,Fannin
149,3982,3787,3708,4009,46458,Fayette
151,3403,3463,3487,3661,42042,Fisher
153,3179,3089,3097,3519,38652,Floyd
155,2399,2399,2426,2504,29184,Foard
157,4791,4434,4345,4683,54759,Fort Bend
159,3006,3308,3073,3065,37356,Franklin
161,4160,3868,3878,3968,47622,Freestone
163,4533,4672,4217,4558,53940,Frio
165,5134,4696,4207,4643,56040,Gaines
167,4574,4223,4162,4404,52089,Galveston
169,3216,3531,3289,3523,40677,Garza
171,3196,3562,3174,3525,40371,Gillespie
173,5798,4638,4297,5187,59760,Glasscock
175,4146,3693,3763,3813,46245,Goliad
177,3696,3649,3611,3695,43953,Gonzales
179,4407,3993,3843,4032,48825,Gray
181,3981,3885,3702,4011,46737,Grayson
183,4320,4377,4168,4499,52092,Gregg
185,4745,4280,4046,4411,52446,Grimes
187,4000,4109,3813,4052,47922,Guadalupe
189,3333,3287,3138,3424,39546,Hale
191,2491,2684,2480,2569,30672,Hall
193,3156,3145,3122,3250,38019,Hamilton
195,6369,4366,4243,4655,58899,Hansford
197,3363,3188,3208,3367,39378,Hardeman
199,3692,3597,3484,3919,44076,Hardin
201,6674,5733,5615,6043,72195,Harris
203,4351,4183,4036,4278,50544,Harrison
205,3769,3676,3529,4002,44928,Hartley
207,2796,2853,2764,3067,34440,Haskell
209,3566,3672,3551,3710,43497,Hays
211,8549,5234,5175,5966,74772,Hemphill
213,3471,3441,3215,3490,40851,Henderson
215,2915,2952,2869,3043,35337,Hidalgo
217,3428,3444,3342,3512,41178,Hill
219,4721,4618,4337,4551,54681,Hockley
221,3676,3722,3531,3710,43917,Hood
223,3681,3586,3574,3724,43695,Hopkins
225,4289,4549,4211,4552,52803,Houston
227,4547,4445,4165,4502,52977,Howard
229,3497,3750,3315,3817,43137,Hudspeth
231,4962,4460,4742,4658,56466,Hunt
233,6375,5685,5311,5240,67833,Hutchinson
235,6445,5928,5661,5880,71742,Irion
237,4150,4305,3896,4316,50001,Jack
239,3965,4094,3862,4257,48534,Jackson
241,3613,3601,3540,3917,44013,Jasper
243,3227,3312,3297,3395,39693,Jeff Davis
245,5357,4953,4890,5258,61374,Jefferson
247,2392,2515,2401,2669,29931,Jim Hogg
249,3865,3907,3627,3904,45909,Jim Wells
251,3932,4078,3803,4009,47466,Johnson
253,3282,3331,3215,3516,40032,Jones
255,4875,4615,4218,4563,54813,Karnes
257,3644,3547,3548,3775,43542,Kaufman
259,4409,4461,4394,4571,53505,Kendall
261,5491,6173,5225,5978,68601,Kenedy
263,3131,3132,2839,3335,37311,Kent
265,3420,3644,3512,3639,42645,Kerr
267,2523,2586,2543,2774,31278,Kimble
269,6439,6862,6810,7123,81702,King
271,3111,3184,3002,2970,36801,Kinney
273,3029,3079,3054,3181,37029,Kleberg
275,3343,3255,3384,3366,40044,Knox
277,3688,3786,3633,3875,44946,Lamar
279,3282,3434,3138,3473,39981,Lamb
281,3108,3250,3013,3248,37857,Lampasas
283,5705,5202,5348,5651,65718,La Salle
285,3522,3572,3462,3883,43317,Lavaca
287,4418,4289,4550,4427,53052,Lee
289,4298,4342,4077,4282,50997,Leon
291,4194,4017,3790,4212,48639,Liberty
293,3752,3637,3324,3417,42390,Limestone
295,3630,3587,3586,7186,53967,Lipscomb
297,5427,4769,4681,4895,59316,Live Oak
299,3127,3402,3144,3483,39468,Llano
301,5366,5417,4941,5496,63660,Loving
303,3758,3876,3627,3969,45690,Lubbock
305,3787,3857,3424,3931,44997,Lynn
307,5828,5209,4921,5317,63825,McCulloch
309,4006,4075,3887,4145,48339,McLennan
311,6096,5122,5490,5514,66666,McMullen
313,3381,3535,3434,3547,41691,Madison
315,3132,2916,2702,2978,35184,Marion
317,4383,4744,4405,5510,57126,Martin
319,2704,2817,2653,2874,33144,Mason
321,5716,5163,4644,5114,61911,Matagorda
323,2541,2633,2494,2755,31269,Maverick
325,3236,3274,3150,3415,39225,Medina
327,2531,2584,2389,2650,30462,Menard
329,7011,6531,6010,6299,77553,Midland
331,3981,3873,4166,4293,48939,Milam
333,2881,2970,2862,3059,35316,Mills
335,4422,3835,3467,3863,46761,Mitchell
337,3734,3928,3743,3907,45936,Montague
339,5285,4883,4568,4964,59100,Montgomery
341,4256,3949,3819,4302,48978,Moore
343,4614,4229,4082,4248,51519,Morris
345,2602,2639,2334,2504,30237,Motley
347,3341,3377,3211,3477,40218,Nacogdoches
349,3385,3411,3245,3492,40599,Navarro
351,2974,3096,2967,3179,36648,Newton
353,3903,3816,3651,3924,45882,Nolan
355,4166,4067,3988,4224,49335,Nueces
357,5379,4985,4709,5299,61116,Ochiltree
359,3471,3782,3334,3848,43305,Oldham
361,4953,4637,4590,4778,56874,Orange
363,3681,3739,3548,3775,44229,Palo Pinto
365,4449,4240,4224,4396,51927,Panola
367,4453,3983,3930,4149,49545,Parker
369,3499,3657,3625,3766,43641,Parmer
371,4453,4316,4076,4257,51306,Pecos
373,3529,3470,3406,3575,41940,Polk
375,3858,3890,3662,4068,46434,Potter
377,2740,2675,3036,2669,33360,Presidio
379,2812,3013,2796,3021,34926,Rains
381,3664,3614,3510,3830,43854,Randall
383,5516,5153,5051,5251,62913,Reagan
385,2465,2529,2546,2921,31383,Real
387,3074,2913,2788,2985,35280,Red River
389,4820,4996,4216,4655,56061,Reeves
391,3545,3643,3460,3577,42675,Refugio
393,5231,3702,3871,3548,49056,Roberts
395,3997,3897,3732,3893,46557,Robertson
397,3807,3873,3772,4115,46701,Rockwall
399,3263,2997,2985,3041,36858,Runnels
401,3928,3842,3744,3971,46455,Rusk
403,3299,3287,3085,3256,38781,Sabine
405,3037,3251,2995,3430,38139,San Augustine
407,3139,3324,3086,3366,38745,San Jacinto
409,4355,4148,4086,4330,50757,San Patricio
411,2782,2702,2728,2833,33135,San Saba
413,3737,3828,3637,3726,44784,Schleicher
415,4999,5244,4575,4643,58383,Scurry
417,4283,4851,4091,4544,53307,Shackelford
419,2925,3034,2943,2964,35598,Shelby
421,3437,3463,3394,3899,42579,Sherman
423,3967,4077,4006,4255,48915,Smith
425,5878,5117,4987,5462,64332,Somervell
427,2261,2354,2227,2429,27813,Starr
429,3378,3591,3382,3822,42519,Stephens
431,5857,4831,4119,4677,58452,Sterling
433,3432,3502,3493,3481,41724,Stonewall
435,4934,4967,5006,5079,59958,Sutton
437,3172,3207,3006,3472,38571,Swisher
439,5152,4815,4603,4985,58665,Tarrant
441,3695,3810,3615,3912,45096,Taylor
443,4998,5009,4325,4705,57111,Terrell
445,3526,3495,3535,3786,43026,Terry
447,2509,2381,2443,2633,29898,Throckmorton
449,3442,3264,3288,3303,39891,Titus
451,3745,3832,3623,3955,45465,Tom Green
453,5986,5705,5504,5903,69294,Travis
455,2950,3074,2871,3025,35760,Trinity
457,3084,3111,3062,3226,37449,Tyler
459,3134,3267,3292,3595,39864,Upshur
461,6660,6033,5319,5730,71226,Upton
463,3058,2983,2928,3060,36087,Uvalde
465,2807,2895,2727,2905,34002,Val Verde
467,3163,3270,3056,3329,38454,Van Zandt
469,4305,4203,3952,4329,50367,Victoria
471,3628,3659,3467,3704,43374,Walker
473,4223,4127,4086,4470,50718,Waller
475,5928,5606,5318,5602,67362,Ward
477,3716,3630,3534,3833,44139,Washington
479,2919,2970,2868,3047,35412,Webb
481,3527,3466,3440,3546,41937,Wharton
483,3401,3333,3279,3424,40311,Wheeler
485,3627,3535,3479,3717,43074,Wichita
487,3232,3217,3102,3190,38223,Wilbarger
489,3242,3229,3078,3330,38637,Willacy
491,5433,4792,4646,4952,59469,Williamson
493,3409,3584,3381,3542,41748,Wilson
495,6103,5591,5291,5527,67536,Winkler
497,4272,4227,4057,4526,51246,Wise
499,3273,3413,3184,3517,40161,Wood
501,5577,5297,5005,5138,63051,Yoakum
503,3846,3988,3506,3853,45579,Young
505,3941,4115,4042,4439,49611,Zapata
507,2985,3200,2924,3057,36498,Zavala
