county,20161,20162,20153,20154,total,county_name
001,3305,3523,3433,3662,41769,Anderson
003,5160,4921,5269,5517,62601,Andrews
005,3259,3405,3445,3683,41376,Angelina
007,3167,3208,3585,3512,40416,Aransas
009,2929,3047,3292,3346,37842,Archer
011,3188,3281,3251,3527,39741,Armstrong
013,3689,3769,4077,4194,47187,Atascosa
015,3676,3707,3722,4125,45690,Austin
017,3101,3125,3318,3539,39249,Bailey
019,2907,3104,3093,3202,36918,Bandera
021,3132,3234,3116,3490,38916,Bastrop
023,2703,2868,2857,3081,34527,Baylor
025,3490,3229,3318,3607,40932,Bee
027,3657,3658,3732,4047,45282,Bell
029,4177,3961,3928,4378,49332,Bexar
031,3362,3486,3657,3822,42981,Blanco
033,3258,3320,3344,3914,41508,Borden
035,3162,3257,3186,3458,39189,Bosque
037,3127,3280,3246,3586,39717,Bowie
039,4913,4567,4462,4968,56730,Brazoria
041,3408,3349,3466,3610,41499,Brazos
043,2955,3036,3135,3351,37431,Brewster
045,3352,3373,2958,3520,39609,Briscoe
047,2751,2838,2941,3158,35064,Brooks
049,3349,3225,3360,3514,40344,Brown
051,3314,3349,3479,3816,41874,Burleson
053,3366,3470,3397,3736,41907,Burnet
055,3052,3155,3050,3384,37923,Caldwell
057,5511,5630,5658,5957,68268,Calhoun
059,3066,3132,3276,3810,39852,Callahan
061,2560,2685,2692,2898,32505,Cameron
063,3504,3222,3348,3592,40998,Camp
065,6443,7219,5970,6630,78786,Carson
067,3068,3125,3034,3329,37668,Cass
069,3030,3135,3074,3458,38091,Castro
071,5293,5691,4806,5396,63558,Chambers
073,2810,2946,2900,3153,35427,Cherokee
075,3318,3419,3407,3713,41571,Childress
077,2782,2873,2955,2978,34764,Clay
079,3172,3332,3322,3639,40395,Cochran
081,3016,3077,3023,3208,36972,Coke
083,2688,2631,2617,2825,32283,Coleman
085,5876,5411,5238,5691,66648,Collin
087,3355,3392,3184,3597,40584,Collingsworth
089,3365,3465,3326,3711,41601,Colorado
091,3691,3625,3687,4026,45087,Comal
093,2771,2880,2834,3049,34602,Comanche
095,3032,2981,3102,3231,37038,Concho
097,3661,3848,3801,4125,46305,Cooke
099,3357,3438,3377,3633,41415,Coryell
101,3592,3154,2879,3023,37944,Cottle
103,6195,5520,5413,5815,68829,Crane
105,3812,3623,4042,3718,45585,Crockett
107,3161,2994,2990,3505,37950,Crosby
109,3368,3598,3448,3607,42063,Culberson
111,3698,3641,3563,4107,45027,Dallam
113,5720,5300,5241,5887,66444,Dallas
115,3213,3336,3344,3557,40350,Dawson
117,3466,3475,3881,3852,44022,Deaf Smith
119,2309,2458,2514,2603,29652,Delta
121,4201,4162,4112,4467,50826,Denton
123,3700,3616,3765,4230,45933,DeWitt
125,2895,2788,3066,3120,35607,Dickens
127,3688,3711,3917,4123,46317,Dimmit
129,2564,2715,2646,2781,32118,Donley
131,2974,3161,3351,3486,38916,Duval
133,3349,3419,3893,3949,43830,Eastland
135,4455,4509,4814,5106,56652,Ector
137,2529,2547,2527,2748,31053,Edwards
139,3654,3678,3602,3956,44670,Ellis
141,3059,3119,3089,3331,37794,El Paso
143,2913,3054,2993,3251,36633,Erath
145,3236,3231,3124,3418,39027,Falls
147,3019,3107,3114,3438,38034,Fannin
149,3402,3416,3587,3815,42660,Fayette
151,3264,3273,3162,3501,39600,Fisher
153,2870,2903,3009,3401,36549,Floyd
155,2207,2371,2215,2530,27969,Foard
157,4535,4288,4425,4780,54084,Fort Bend
159,2789,3115,2807,3004,35145,Franklin
161,4068,3792,4076,4205,48423,Freestone
163,3784,3790,3907,4079,46680,Frio
165,4226,4284,4212,4809,52593,Gaines
167,4196,4065,3999,4348,49824,Galveston
169,3107,3002,3279,3297,38055,Garza
171,2987,3225,3166,3440,38454,Gillespie
173,4667,4147,3995,4420,51687,Glasscock
175,8548,4829,4611,5037,69075,Goliad
177,3332,3324,3496,3665,41451,Gonzales
179,3848,3744,3888,4299,47337,Gray
181,3556,3623,3579,3850,43824,Grayson
183,3902,3840,4061,4362,48495,Gregg
185,3817,3824,3840,4301,47346,Grimes
187,3577,3758,3707,4053,45285,Guadalupe
189,3033,3109,3041,3360,37629,Hale
191,2566,2554,2903,2985,33024,Hall
193,2929,3030,3064,3031,36162,Hamilton
195,5330,4044,4476,4564,55242,Hansford
197,3213,3224,2999,3367,38409,Hardeman
199,3392,3423,3458,3735,42024,Hardin
201,6141,5541,5585,6203,70410,Harris
203,3954,3825,3932,4315,48078,Harrison
205,3442,3447,3429,3877,42585,Hartley
207,2637,2723,2899,2972,33693,Haskell
209,3355,3425,3432,3719,41793,Hays
211,8049,6328,5783,7417,82731,Hemphill
213,3188,3281,3211,3466,39438,Henderson
215,2695,2843,2784,3006,33984,Hidalgo
217,3502,3642,3582,3831,43671,Hill
219,3758,3769,4154,4296,47931,Hockley
221,3294,3443,3708,3739,42552,Hood
223,3268,3467,3333,3601,41007,Hopkins
225,4509,4167,4191,4516,52149,Houston
227,3806,4308,3923,4305,49026,Howard
229,2985,3238,3141,3389,38259,Hudspeth
231,4228,4861,4160,4732,53943,Hunt
233,6122,5546,5157,5629,67362,Hutchinson
235,5502,4723,5644,7111,68940,Irion
237,3687,3837,3912,4370,47418,Jack
239,3490,3569,3752,4247,45174,Jackson
241,3351,3424,3505,3752,42096,Jasper
243,3055,3283,3098,3285,38163,Jeff Davis
245,5009,4817,4744,5241,59433,Jefferson
247,2418,2492,2453,2644,30021,Jim Hogg
249,3391,3273,3935,4104,44109,Jim Wells
251,3493,3659,3712,3947,44433,Johnson
253,2980,3046,3155,3452,37899,Jones
255,4308,4066,4272,4835,52443,Karnes
257,3342,3412,3394,3667,41445,Kaufman
259,4233,4340,4267,4655,52485,Kendall
261,4675,5062,5204,5608,61647,Kenedy
263,2831,2741,2636,3018,33678,Kent
265,3166,3391,3453,3575,40755,Kerr
267,2288,2421,2406,2713,29484,Kimble
269,5494,6126,5580,5898,69294,King
271,2670,2975,2685,2960,33870,Kinney
273,2866,2930,2938,3191,35775,Kleberg
275,3220,3218,3307,3524,39807,Knox
277,3461,3521,3548,3959,43467,Lamar
279,2981,3186,3111,3305,37749,Lamb
281,2928,3180,2966,3159,36699,Lampasas
283,4484,4685,4815,5057,57123,La Salle
285,3117,3180,3263,3538,39294,Lavaca
287,3806,4103,4002,4620,49593,Lee
289,3915,3903,4135,4327,48840,Leon
291,3599,3626,3664,3841,44190,Liberty
293,3238,3210,3142,3333,38769,Limestone
295,3201,3357,3476,4951,44955,Lipscomb
297,4796,4117,4487,5152,55656,Live Oak
299,2846,3038,3140,3296,36960,Llano
301,5430,5508,6840,6646,73272,Loving
303,3441,3522,3580,3845,43164,Lubbock
305,3178,3332,3147,3576,39699,Lynn
307,5332,4502,4796,4889,58557,McCulloch
309,3606,3796,3659,4050,45333,McLennan
311,5312,5282,5222,5852,65004,McMullen
313,3132,3265,3379,3595,40113,Madison
315,2648,3054,2640,2862,33612,Marion
317,4129,4318,4317,5279,54129,Martin
319,2593,2526,2567,2899,31755,Mason
321,4859,4537,4530,5073,56997,Matagorda
323,2385,2476,2474,2667,30006,Maverick
325,2933,3001,3066,3334,37002,Medina
327,2346,2390,2397,2557,29070,Menard
329,5713,5518,5592,5983,68418,Midland
331,4177,4061,3985,4431,49962,Milam
333,2714,2814,2724,2901,33459,Mills
335,3588,3349,3548,3813,42894,Mitchell
337,3063,3259,3357,3609,39864,Montague
339,4669,4587,4488,4914,55974,Montgomery
341,4229,3886,4374,4930,52257,Moore
343,3544,3335,3648,4080,43821,Morris
345,2431,2471,2369,2573,29532,Motley
347,3041,3119,3239,3470,38607,Nacogdoches
349,3039,3064,3157,3372,37896,Navarro
351,2661,2804,2678,2837,32940,Newton
353,3638,3682,3589,3966,44625,Nolan
355,3764,3839,3882,4232,47151,Nueces
