county,20111,20112,20103,20104,total,county_name
001,3129,3138,3104,3291,37986,Anderson
003,4544,4660,4442,5007,55959,Andrews
005,3096,2997,2982,3321,37188,Angelina
007,2743,2838,2849,3030,34380,Aransas
009,2776,2906,2898,3180,35280,Archer
011,2798,2618,2788,3105,33927,Armstrong
013,2844,3026,2932,3234,36108,Atascosa
015,3682,3690,3741,3866,44937,Austin
017,2655,2740,2669,3018,33246,Bailey
019,2495,2614,2549,2649,30921,Bandera
021,2744,2857,2819,2969,34167,Bastrop
023,2365,2404,2404,2458,28893,Baylor
025,2937,3001,2855,3208,36003,Bee
027,3269,3183,3259,3333,39132,Bell
029,3721,3510,3434,3811,43428,Bexar
031,2901,3229,2988,3537,37965,Blanco
033,2855,3020,2665,3388,35784,Borden
035,2974,2925,2902,3127,35784,Bosque
037,2865,3087,3032,3349,36999,Bowie
039,4326,4033,3876,4173,49224,Brazoria
041,3051,3027,3028,3314,37260,Brazos
043,2617,2933,2792,2962,33912,Brewster
045,2192,2375,2211,2748,28578,Briscoe
047,2659,2814,2708,3021,33606,Brooks
049,3064,3138,2873,2980,36165,Brown
051,3428,3525,3141,3615,41127,Burleson
053,2993,3209,2989,3331,37566,Burnet
055,2630,2727,2691,2896,32832,Caldwell
057,4790,4972,4579,4993,58002,Calhoun
059,2430,2663,2609,3145,32541,Callahan
061,2367,2503,2461,2662,29979,Cameron
063,2990,2858,2834,3089,35313,Camp
065,2818,2793,2735,3492,35514,Carson
067,2547,2682,2699,2904,32496,Cass
069,2495,2552,2541,2795,31149,Castro
071,4412,4543,4256,4877,54264,Chambers
073,2569,2660,2668,2795,32076,Cherokee
075,2547,2509,2543,2626,30675,Childress
077,2793,3052,2946,3177,35904,Clay
079,2701,2774,2689,2987,33453,Cochran
081,2215,2421,2189,2387,27636,Coke
083,2283,2288,2329,2513,28239,Coleman
085,4918,4844,4639,5041,58326,Collin
087,2597,2637,2487,2691,31236,Collingsworth
089,2824,2896,2896,3596,36636,Colorado
091,3087,3190,3247,3456,38940,Comal
093,2554,2533,2588,2715,31170,Comanche
095,2395,2565,2313,2600,29619,Concho
097,3529,3639,3446,3748,43086,Cooke
099,3168,3326,3284,3423,39603,Coryell
101,2746,2521,2556,3090,32739,Cottle
103,5720,4848,4574,6182,63972,Crane
105,2853,2943,2770,2988,34662,Crockett
107,2893,2771,2551,4366,37743,Crosby
109,2175,2437,2244,2448,27912,Culberson
111,3229,3220,3268,3706,40269,Dallam
113,5090,4736,4620,5217,58989,Dallas
115,3055,2831,2684,2982,34656,Dawson
117,2862,2989,2943,3195,35967,Deaf Smith
119,2815,2810,2563,2725,32739,Delta
121,3723,3721,3572,3932,44844,Denton
123,2881,2895,2810,3079,34995,DeWitt
125,2501,2831,2740,2830,32706,Dickens
127,2956,3401,3027,3348,38196,Dimmit
129,2050,2252,2226,2381,26727,Donley
131,2926,3024,2901,3108,35877,Duval
133,2776,3020,2903,3158,35571,Eastland
135,4007,4189,3863,4390,49347,Ector
137,2202,2300,2214,2418,27402,Edwards
139,3040,3274,3148,3386,38544,Ellis
141,2799,2886,2814,3081,34740,El Paso
143,2548,2631,2594,2708,31443,Erath
145,2697,2785,2731,2949,33486,Falls
147,2624,2817,2702,2949,33276,Fannin
149,3081,3097,3125,3555,38574,Fayette
151,2513,2656,2489,2823,31443,Fisher
153,2820,2777,2565,3030,33576,Floyd
155,1851,1952,1932,2088,23469,Foard
157,4465,4088,3980,4463,50988,Fort Bend
159,2453,2451,2377,2720,30003,Franklin
161,3709,3807,3426,3684,43878,Freestone
163,2811,3288,2802,3120,36063,Frio
165,4293,3804,3553,4422,48216,Gaines
167,3774,3770,3664,4045,45759,Galveston
169,2881,2959,3088,3181,36327,Garza
171,2637,2738,2704,2914,32979,Gillespie
173,2824,2604,2708,3451,34761,Glasscock
175,3874,4585,3269,3534,45786,Goliad
177,2769,2708,2790,3064,33993,Gonzales
179,4102,4030,4031,4133,48888,Gray
181,3301,3187,3207,3553,39744,Grayson
183,3756,3876,3676,4150,46374,Gregg
185,3873,3792,3357,3964,44958,Grimes
187,3104,3264,3108,3404,38640,Guadalupe
189,2664,2652,2642,2877,32505,Hale
191,2294,2366,2261,2439,28080,Hall
193,2572,2726,2636,2994,32784,Hamilton
195,3543,3439,3281,3741,42012,Hansford
197,2505,2632,2686,2955,32334,Hardeman
199,3077,3132,3081,3417,38121,Hardin
201,5590,5023,4879,5514,63018,Harris
203,3671,3679,3575,4133,45174,Harrison
205,3016,2955,2959,3191,36363,Hartley
207,2600,2428,2588,2729,31035,Haskell
209,2776,2978,2937,3092,35349,Hays
211,5428,4645,4519,6232,62472,Hemphill
213,2746,2808,2798,2967,33957,Henderson
215,2497,2616,2560,2776,31347,Hidalgo
217,2648,2770,2684,2856,32874,Hill
219,3699,3459,3355,3843,43068,Hockley
221,3109,3436,3055,3245,38535,Hood
223,3020,3012,2923,3167,36366,Hopkins
225,3609,3583,3280,3506,41934,Houston
227,3294,3380,3254,3531,40377,Howard
229,2319,2622,2530,2692,30489,Hudspeth
231,3648,3670,3826,3975,45357,Hunt
233,5375,4629,4634,4673,57933,Hutchinson
235,4128,4036,4379,4517,51180,Irion
237,3670,3678,3821,4109,45834,Jack
239,3061,3259,3020,3334,38022,Jackson
241,3185,3032,2961,3101,36837,Jasper
243,2961,2972,2906,2971,35430,Jeff Davis
245,4241,4154,4155,4511,51183,Jefferson
247,2021,2174,1962,2219,25128,Jim Hogg
249,3549,3885,3413,3867,44142,Jim Wells
251,3168,3316,3262,3528,39822,Johnson
253,2413,2566,2500,2716,30585,Jones
255,2673,2746,2652,2898,32907,Karnes
257,3035,3120,3145,3341,37923,Kaufman
259,3477,3765,3634,4014,44670,Kendall
261,3721,4144,3985,4134,47952,Kenedy
263,2170,2319,2153,2412,27162,Kent
265,2773,3073,2928,3152,35778,Kerr
267,2135,2299,2190,2452,27228,Kimble
269,3903,4388,3221,3847,46077,King
271,2281,2432,2412,2570,29085,Kinney
273,2731,2866,2703,2991,33873,Kleberg
275,2707,2883,2759,3046,34185,Knox
277,2980,3157,3110,3379,37878,Lamar
279,2634,2740,2724,2891,32967,Lamb
281,2634,2634,2647,2900,32445,Lampasas
283,3589,4157,3778,4429,47859,La Salle
285,3420,3135,3026,3353,38802,Lavaca
287,3282,3665,3505,3951,43209,Lee
289,3487,3632,3423,3708,42750,Leon
291,3288,3263,3149,3481,39543,Liberty
293,2780,2762,2757,2921,33660,Limestone
295,2808,3014,2670,3613,36315,Lipscomb
297,3425,3468,3162,3560,40845,Live Oak
299,2583,2767,2767,3013,33390,Llano
301,3713,3115,3025,3167,39060,Loving
303,2999,3153,3074,3459,38055,Lubbock
305,2882,2715,2581,2936,33342,Lynn
307,4829,4079,3697,3941,49638,McCulloch
309,3191,3227,3306,3516,39720,McLennan
311,11987,4238,3934,4418,73731,McMullen
313,2593,2763,2628,2884,32604,Madison
315,2186,2243,2265,2264,26874,Marion
317,3178,3433,3520,3916,42141,Martin
319,2161,2356,2219,2423,27477,Mason
321,4128,4041,4214,4609,50976,Matagorda
323,2274,2273,2215,2356,27354,Maverick
325,2509,2611,2554,2722,31188,Medina
327,2185,2279,2208,2288,26880,Menard
329,5181,4815,4432,5024,58356,Midland
331,3271,3202,3203,3421,39291,Milam
333,2213,2270,2438,2509,28290,Mills
335,2791,3223,2887,3002,35709,Mitchell
337,2850,2951,2813,3070,35052,Montague
339,4200,3960,3789,4364,48939,Montgomery
341,3981,3749,3450,4233,46239,Moore
343,3753,4077,3937,3845,46836,Morris
345,2130,2177,2053,2278,25914,Motley
347,2834,2991,2971,3240,36108,Nacogdoches
349,2652,2816,2714,2969,33453,Navarro
351,2477,2637,2560,2779,31359,Newton
353,2739,2949,2871,3118,35031,Nolan
355,3329,3436,3304,3694,41289,Nueces
357,4495,4482,3983,5035,53985,Ochiltree
359,3002,3253,2998,3306,37677,Oldham
361,4105,3881,3954,4154,48282,Orange
363,2909,2978,3047,3454,37164,Palo Pinto
365,3629,3744,3690,4066,45387,Panola
367,3402,4404,3199,3592,43791,Parker
369,2597,2867,2786,2928,33534,Parmer
371,3867,3641,3804,3762,45222,Pecos
373,2827,2903,2895,3214,35517,Polk
375,3273,3480,3395,3799,41841,Potter
377,2249,2363,2235,2557,28212,Presidio
379,2430,2552,2562,2641,30555,Rains
381,2918,3018,2873,3232,36123,Randall
383,4255,4626,4104,4839,53472,Reagan
385,2092,2124,2153,2303,26016,Real
387,2219,2369,2400,2475,28389,Red River
389,2849,2956,2715,2918,34314,Reeves
391,3038,3202,3029,3500,38307,Refugio
393,2678,2809,2664,2979,33390,Roberts
395,2960,3142,2929,3169,36600,Robertson
397,2997,3170,3129,3452,38244,Rockwall
399,2488,2640,2499,2804,31293,Runnels
401,3494,3452,3548,3676,42510,Rusk
403,3279,3009,3043,3250,37743,Sabine
405,2427,2533,2505,2710,30525,San Augustine
407,2598,2856,2711,2797,32886,San Jacinto
409,3446,3494,3364,3570,41622,San Patricio
411,2405,2265,2203,2575,28344,San Saba
413,3048,3529,3018,3537,39396,Schleicher
415,3828,3978,3718,3889,46239,Scurry
417,3306,3680,3754,3606,43038,Shackelford
419,2374,2475,2471,2661,29943,Shelby
421,2873,2916,3036,3445,36810,Sherman
423,3419,3573,3523,3875,43170,Smith
425,5805,5138,4713,5158,62442,Somervell
427,2038,2146,2112,2190,25458,Starr
429,2876,2939,2894,3212,35763,Stephens
431,4016,3488,3048,3322,41622,Sterling
433,2892,3332,2934,3233,37173,Stonewall
435,4865,4688,4684,4773,57030,Sutton
437,2821,2656,2543,2950,32910,Swisher
439,4064,4091,4014,4442,49833,Tarrant
441,2891,3063,2973,3307,36702,Taylor
443,2904,2855,3082,3189,36090,Terrell
445,3159,3275,3048,3474,38868,Terry
447,2202,2377,2222,2681,28446,Throckmorton
449,2817,2810,2913,3079,34857,Titus
451,3023,3107,3022,3279,37293,Tom Green
453,4467,4439,4375,4909,54570,Travis
455,2341,2526,2499,2601,29901,Trinity
457,2651,2833,2747,2910,33423,Tyler
459,2780,2900,2846,3074,34800,Upshur
461,4542,4472,3854,4491,52077,Upton
463,2506,2606,2510,2699,30963,Uvalde
465,2397,2418,2420,2585,29460,Val Verde
467,2553,2724,2667,2910,32562,Van Zandt
469,3303,3474,3257,3667,41103,Victoria
471,3010,3074,2973,3139,36588,Walker
473,3382,3696,3469,4019,43698,Waller
475,4543,4418,4171,4465,52791,Ward
477,2871,2973,2983,3348,36525,Washington
479,2473,2599,2577,2801,31350,Webb
481,2793,2913,2768,2982,34368,Wharton
483,2687,2857,2728,2926,33594,Wheeler
485,2999,3140,3030,3392,37683,Wichita
487,2692,2657,2727,2838,32742,Wilbarger
489,2518,2724,2680,2835,32271,Willacy
491,4383,4820,3955,4455,52839,Williamson
493,2525,2660,2543,2730,31374,Wilson
495,4259,4401,3921,4571,51456,Winkler
497,3688,3726,3629,4067,45330,Wise
499,3019,3031,2997,3239,36858,Wood
501,4770,4604,4157,4959,55470,Yoakum
503,3461,3261,3157,3376,39765,Young
505,3573,3803,3412,3758,43638,Zapata
507,1974,2201,2025,2309,25527,Zavala
