county,20131,20132,20123,20124,total,county_name
001,3424,3376,3364,3522,41058,Anderson
003,4986,5023,4878,5342,60687,Andrews
005,3273,3202,3259,3483,39651,Angelina
007,3103,3120,3156,3233,37836,Aransas
009,3099,3232,3121,3418,38610,Archer
011,3046,3080,3131,3710,38901,Armstrong
013,3529,3683,3612,3674,43494,Atascosa
015,3588,3628,3572,3970,44274,Austin
017,2838,2949,2823,3068,35034,Bailey
019,2745,2802,2665,2850,33186,Bandera
021,2964,2943,2927,3198,36096,Bastrop
023,2459,2654,2445,2574,30396,Baylor
025,3387,3360,3212,3455,40242,Bee
027,3472,3358,3374,3487,41073,Bell
029,3988,3631,3637,3921,45531,Bexar
031,3213,3217,3430,3489,40047,Blanco
033,2843,2962,2993,3673,37413,Borden
035,3028,3018,2922,3250,36654,Bosque
037,3074,3126,3134,3302,37908,Bowie
039,4493,4228,4038,4333,51276,Brazoria
041,3210,3182,3299,3391,39246,Brazos
043,2906,3113,2882,3169,36210,Brewster
045,2528,2566,2586,2963,31929,Briscoe
047,2878,2868,3060,3106,35736,Brooks
049,3052,3113,3019,2951,36405,Brown
051,3772,3471,3704,3913,44580,Burleson
053,3141,3248,3168,3455,39036,Burnet
055,3007,2999,2879,3074,35877,Caldwell
057,5206,5380,5035,5188,62427,Calhoun
059,2785,2935,2773,3597,36270,Callahan
061,2509,2557,2529,2684,30837,Cameron
063,3363,3156,3121,3267,38721,Camp
065,3030,3183,3141,3284,37914,Carson
067,2918,2948,2647,3139,34956,Cass
069,2837,2795,2688,3070,34170,Castro
071,4912,4967,4542,5057,58434,Chambers
073,2713,2826,2696,2930,33495,Cherokee
075,2733,2746,2475,2861,32445,Childress
077,2698,2805,2683,2803,32967,Clay
079,2839,3006,2792,3144,35343,Cochran
081,2634,2785,2387,2457,30789,Coke
083,2391,2425,2436,2611,29589,Coleman
085,5431,4969,4855,5319,61722,Collin
087,2902,3201,2813,3212,36384,Collingsworth
089,3148,3190,3209,3436,38949,Colorado
091,3482,3606,3348,3587,42069,Comal
093,2598,2616,2552,2741,31521,Comanche
095,2777,2696,2773,2757,33009,Concho
097,3799,3865,3802,3953,46257,Cooke
099,3146,3184,3234,3329,38679,Coryell
101,3630,3707,2797,3204,40014,Cottle
103,6125,5209,5572,5733,67917,Crane
105,3008,3010,3008,3363,37167,Crockett
107,2838,2764,2764,3154,34560,Crosby
109,2990,3063,2966,3095,36342,Culberson
111,3391,3452,3324,3823,41970,Dallam
113,5429,4972,4871,5425,62091,Dallas
115,3081,3231,2967,3284,37689,Dawson
117,3148,3265,3157,3414,38952,Deaf Smith
119,2416,2406,2447,2356,28875,Delta
121,4022,3870,3817,4077,47358,Denton
123,3352,3593,3219,3788,41856,DeWitt
