county,20121,20122,20113,20114,total,county_name
001,3353,3297,3320,3330,39900,Anderson
003,4981,4813,4961,4962,59151,Andrews
005,3280,3194,3142,3228,38532,Angelina
007,2977,2961,3046,3044,36084,Aransas
009,3065,3123,3104,3247,37617,Archer
011,2940,2572,2632,3158,33906,Armstrong
013,3197,3443,3257,3231,39384,Atascosa
015,3814,3705,3686,3905,45330,Austin
017,2776,2795,2769,3049,34167,Bailey
019,2625,2716,2666,2772,32337,Bandera
021,2896,2902,2959,3014,35313,Bastrop
023,2394,2416,2613,2552,29925,Baylor
025,3327,3248,3121,3210,38718,Bee
027,3424,3260,3398,3362,40332,Bell
029,3951,3571,3638,3801,44883,Bexar
031,3137,3134,3322,3521,39342,Blanco
033,2866,3109,2865,3146,35958,Borden
035,2973,3005,3004,3120,36306,Bosque
037,3115,3129,3171,3259,38022,Bowie
039,4347,4223,4193,4148,50733,Brazoria
041,3239,3162,3273,3271,38835,Brazos
043,2872,2846,2902,3034,34962,Brewster
045,2378,2497,2397,2710,29946,Briscoe
047,2880,2952,2963,3067,35586,Brooks
049,3149,3030,3054,2982,36645,Brown
051,3775,3610,3619,3750,44262,Burleson
053,3167,3202,3229,3313,38733,Burnet
055,2884,2915,2859,2936,34782,Caldwell
057,5127,5072,5046,5031,60828,Calhoun
059,2678,2851,2686,2923,33414,Callahan
061,2476,2505,2562,2580,30369,Cameron
063,3158,3054,3069,3056,37011,Camp
065,2929,3106,2925,3047,36021,Carson
067,2654,2721,2666,2815,32568,Cass
069,2729,2665,2673,2901,32904,Castro
071,4708,4792,4605,4881,56958,Chambers
073,2680,2715,2746,2749,32670,Cherokee
075,2531,2417,2593,2664,30615,Childress
077,2719,2746,3087,2784,34008,Clay
079,2685,2864,2813,3020,34146,Cochran
081,2435,2472,2294,2410,28833,Coke
083,2305,2415,2451,2466,28911,Coleman
085,5409,4837,4911,4986,60429,Collin
087,2741,2918,2727,2980,34098,Collingsworth
089,3008,3038,3044,3119,36627,Colorado
091,3388,3287,3387,3388,40350,Comal
093,2632,2488,2649,2686,31365,Comanche
095,2645,2651,2620,2677,31779,Concho
097,3880,3857,3843,3783,46089,Cooke
099,3184,3175,3440,3341,39420,Coryell
101,2758,2492,2515,2693,31374,Cottle
103,5980,5081,5006,5324,64173,Crane
105,2954,2980,3072,3532,37614,Crockett
107,2757,2766,2754,4502,38337,Crosby
109,2519,2700,2519,2668,31218,Culberson
111,3385,3348,3277,3748,41274,Dallam
113,5387,4844,4935,5096,60786,Dallas
115,2905,3066,2899,3068,35814,Dawson
117,3137,3096,3105,3225,37689,Deaf Smith
119,2439,2398,2372,2411,28860,Delta
121,3907,3740,3837,3895,46137,Denton
123,3199,3273,3074,3307,38559,DeWitt
125,2530,2647,2803,2793,32319,Dickens
127,3753,3703,3863,3765,45252,Dimmit
129,2206,2294,2310,2399,27627,Donley
131,3362,3494,3349,3489,41082,Duval
133,3434,3299,3474,3492,41097,Eastland
135,4540,4578,4460,4687,54795,Ector
137,2347,2414,2310,2566,28911,Edwards
139,3411,3340,3356,3407,40542,Ellis
141,2992,2917,3011,2982,35706,El Paso
143,2755,2664,2773,2769,32883,Erath
145,2786,2803,2785,3083,34371,Falls
147,2851,2825,2857,2930,34389,Fannin
149,3369,3343,3312,3573,40791,Fayette
151,2658,2745,2601,2867,32613,Fisher
153,2756,2810,2762,2960,33864,Floyd
155,1937,2029,2007,2155,24384,Foard
157,4750,4238,4283,4394,52995,Fort Bend
159,2551,2648,2523,2539,30783,Franklin
161,3974,3800,3795,3772,46023,Freestone
163,3511,4074,3558,3613,44268,Frio
165,4413,3976,4195,4430,51042,Gaines
167,3955,3838,3892,3963,46944,Galveston
169,3234,2924,3136,3055,37047,Garza
171,2778,2825,2825,2937,34095,Gillespie
173,2885,2978,2794,3441,36294,Glasscock
175,8906,4948,4885,5715,73362,Goliad
177,2905,2934,2921,3159,35757,Gonzales
179,4371,3989,4251,4104,50145,Gray
181,3414,3274,3398,3376,40386,Grayson
183,4096,3934,3978,4165,48519,Gregg
185,4480,3828,3917,4112,49011,Grimes
187,3312,3323,3327,3481,40329,Guadalupe
189,2794,2672,2788,2830,33252,Hale
191,2487,2258,2461,2623,29487,Hall
193,2693,2796,2635,2848,32916,Hamilton
195,4282,3743,3400,3771,45588,Hansford
197,2642,2778,2750,2843,33039,Hardeman
199,3426,3316,3176,3350,39804,Hardin
201,5979,5219,5220,5486,65712,Harris
203,4033,3922,3944,4262,48483,Harrison
205,3181,3073,3029,3245,37584,Hartley
207,2304,2445,2373,2322,28332,Haskell
209,3098,3131,3134,3081,37332,Hays
211,6116,5200,4967,7090,70119,Hemphill
213,2910,2858,2903,2924,34785,Henderson
215,2609,2673,2694,2724,32100,Hidalgo
